n,method,avg_time_ms,err_time_ms,avg_comparisons,err_comparisons
4096,insertion-based,0.022,0.005,1154,30
8192,insertion-based,0.048,0.013,2492,42
16384,insertion-based,0.121,0.102,5388,56
32768,insertion-based,0.316,0.209,11514,94
65536,insertion-based,0.712,0.313,24630,132
131072,insertion-based,1.498,0.409,52287,149
262144,insertion-based,3.258,0.931,110732,225
524288,insertion-based,7.970,1.105,233756,486
1048576,insertion-based,16.645,2.057,492018,375
4096,in-order trasversal,0.369,0.211,4121,84
8192,in-order trasversal,0.617,0.198,8269,123
16384,in-order trasversal,1.652,0.672,16595,68
32768,in-order trasversal,2.937,0.934,33224,156
65536,in-order trasversal,5.985,1.271,66486,174
131072,in-order trasversal,11.484,2.058,133052,130
262144,in-order trasversal,25.292,3.461,266176,84
524288,in-order trasversal,52.595,5.530,532392,128
1048576,in-order trasversal,101.494,6.763,1064745,107
4096,brown and tarjan's,0.030,0.003,699,22
8192,brown and tarjan's,0.084,0.081,1416,40
16384,brown and tarjan's,0.133,0.054,2830,79
32768,brown and tarjan's,0.269,0.061,5688,92
65536,brown and tarjan's,0.645,0.205,11382,142
131072,brown and tarjan's,1.469,0.553,22810,145
262144,brown and tarjan's,3.519,1.226,45675,286
524288,brown and tarjan's,7.283,0.823,91383,384
1048576,brown and tarjan's,14.626,1.152,182779,555
