method,alpha,N,trial,time_ms,comparisons
Insertion-based,1,4096,1,2.0169,90036
Insertion-based,1,4096,2,1.5414,91083
Insertion-based,1,4096,3,1.5598,91498
Insertion-based,1,4096,4,1.516,90642
Insertion-based,1,4096,5,1.5823,89572
Insertion-based,1,4096,6,1.557,90977
Insertion-based,1,4096,7,1.5282,90160
Insertion-based,1,4096,8,1.5315,90524
Insertion-based,1,4096,9,1.5127,87450
Insertion-based,1,4096,10,1.4722,87267
Insertion-based,1,4096,11,1.8433,87674
Insertion-based,1,4096,12,1.6259,86870
Insertion-based,1,4096,13,1.8905,90554
Insertion-based,1,4096,14,1.6488,89934
Insertion-based,1,4096,15,1.4756,87695
Insertion-based,1,4096,16,1.5427,90955
Insertion-based,1,4096,17,1.5509,90582
Insertion-based,1,4096,18,1.4997,90624
Insertion-based,1,4096,19,1.5084,89391
Insertion-based,1,4096,20,1.5492,90309
Insertion-based,1,8192,1,2.7733,191681
Insertion-based,1,8192,2,3.5975,197750
Insertion-based,1,8192,3,3.2717,195277
Insertion-based,1,8192,4,3.5748,196588
Insertion-based,1,8192,5,3.3859,196221
Insertion-based,1,8192,6,3.3045,191820
Insertion-based,1,8192,7,3.3513,193540
Insertion-based,1,8192,8,4.1112,194302
Insertion-based,1,8192,9,3.3049,196269
Insertion-based,1,8192,10,4.2645,196692
Insertion-based,1,8192,11,4.2005,194220
Insertion-based,1,8192,12,3.8537,194853
Insertion-based,1,8192,13,4.1563,197182
Insertion-based,1,8192,14,3.3037,196953
Insertion-based,1,8192,15,3.4799,193828
Insertion-based,1,8192,16,3.5113,195780
Insertion-based,1,8192,17,3.3948,194306
Insertion-based,1,8192,18,3.2566,197401
Insertion-based,1,8192,19,3.3628,195001
Insertion-based,1,8192,20,3.2369,196001
Insertion-based,1,16384,1,8.9074,418662
Insertion-based,1,16384,2,8.1172,421018
Insertion-based,1,16384,3,6.798,418859
Insertion-based,1,16384,4,7.3597,418243
Insertion-based,1,16384,5,7.3027,421330
Insertion-based,1,16384,6,6.8979,422541
Insertion-based,1,16384,7,6.8305,420671
Insertion-based,1,16384,8,6.8347,420206
Insertion-based,1,16384,9,6.7581,419863
Insertion-based,1,16384,10,6.7069,417301
Insertion-based,1,16384,11,8.436,419680
Insertion-based,1,16384,12,6.9708,419976
Insertion-based,1,16384,13,7.0625,420660
Insertion-based,1,16384,14,6.7154,410353
Insertion-based,1,16384,15,7.8162,420585
Insertion-based,1,16384,16,6.8541,416601
Insertion-based,1,16384,17,6.8235,420032
Insertion-based,1,16384,18,7.0195,422543
Insertion-based,1,16384,19,9.491,418582
Insertion-based,1,16384,20,6.7537,418419
Insertion-based,1,32768,1,17.2072,895648
Insertion-based,1,32768,2,17.1291,895337
Insertion-based,1,32768,3,15.4746,890558
Insertion-based,1,32768,4,19.1648,894654
Insertion-based,1,32768,5,15.8847,893114
Insertion-based,1,32768,6,15.5178,891460
Insertion-based,1,32768,7,15.0454,897987
Insertion-based,1,32768,8,14.6602,894071
Insertion-based,1,32768,9,15.8141,893674
Insertion-based,1,32768,10,14.6507,893899
Insertion-based,1,32768,11,14.7292,897540
Insertion-based,1,32768,12,15.788,892072
Insertion-based,1,32768,13,17.1362,896046
